Category,Department,Keywords,Severity
Fraud,Head of Financial Crimes Unit,"false promises, fake website, tax fraud, phone scam",Critical
Drug-Related Offenses,Chief of Narcotics Control,"controlled substances, synthetic drugs, drug money, selling drugs",Low
Fraud,Head of Financial Crimes Unit,"too good to be true, gift card scam, suspicious charge",Critical
Theft,Directorate of Police,"items missing, larceny, cleaned out my, break-in, porch pirate, vehicle break-in",High
Assault,Commissioner of Law Enforcement,"knocked me down, got attacked, trying to fight",Critical
Assault,Commissioner of Law Enforcement,"shoved me, assault with weapon, fight, workplace violence",High
Fraud,Head of Financial Crimes Unit,"fraudulent documents, suspicious charge, bank fraud, romance scam, medicare fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"fake profile, fake website, account hacked, online threats",Low
Theft,Directorate of Police,"bike gone, smartphone theft, ran off with, took my stuff, commercial burglary, residential burglary",High
Theft,Directorate of Police,"lifted my wallet, shoplifting, steal",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, drug exchanges, lots of traffic, drug addiction, drug house",High
Fraud,Head of Financial Crimes Unit,"got scammed, pyramid scheme, fraud, embezzlement, phone scam",Critical
Assault,Commissioner of Law Enforcement,"gang violence, got jumped, road rage incident, workplace violence, group assault, got into a fight",Low
Assault,Commissioner of Law Enforcement,"threatening, bar fight, shoved me, physical threat, attacked me",High
Fraud,Head of Financial Crimes Unit,"credit card skimming, wire fraud, identity stolen",Medium
Fraud,Head of Financial Crimes Unit,"fake currency, fraud, took my money, investment scam, loan fraud, insurance fraud",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyberstalking, denial of service, social media scam, password theft",Critical
Assault,Commissioner of Law Enforcement,"getting in my face, school violence, brawl, got into a fight",Medium
Assault,Commissioner of Law Enforcement,"threatening, getting physical, acting aggressive, bar fight, physical harassment, got jumped",Medium
Theft,Directorate of Police,"made off with, commercial burglary, purse snatching, steal",Critical
Cybercrime,Head of Cyber Crime Bureau,"data leak, malware, identity stolen online, account hacked, cyber harassment",Low
Assault,Commissioner of Law Enforcement,"assault and battery, getting threatening, got attacked, beat me up, attacked me",High
Drug-Related Offenses,Chief of Narcotics Control,"opioids, drug related, constant visitors, possession, drug distribution, people coming and going",High
Assault,Commissioner of Law Enforcement,"physical harassment, violent attack, unprovoked attack, armed assault, bar fight, picked a fight",Critical
Fraud,Head of Financial Crimes Unit,"mail fraud, medicare fraud, got scammed, inheritance scam, ponzi scheme, welfare fraud",Medium
Theft,Directorate of Police,"broke in and took, cash stolen, emptied my, copper wire theft",Critical
Cybercrime,Head of Cyber Crime Bureau,"denial of service, identity stolen online, cyber attack, cyber threat, spyware",Low
Theft,Directorate of Police,"grabbed my, missing, break-in, stolen property, porch pirate, stole from me",Low
Drug-Related Offenses,Chief of Narcotics Control,"suspicious packages, drug paraphernalia, trafficking, psychedelic drugs",Low
Fraud,Head of Financial Crimes Unit,"employment fraud, insurance scam, internet fraud, phone scam, financial deception, scam",High
Theft,Directorate of Police,"purse snatching, missing from my porch, cash stolen, looted, cleaned out my",High
Theft,Directorate of Police,"burglary, storage unit theft, cash stolen, copper wire theft, car theft, disappeared with",Medium
Assault,Commissioner of Law Enforcement,"physical injury, violent attack, group assault, threatening, getting physical",High
Assault,Commissioner of Law Enforcement,"started swinging, aggravated assault, aggressive behavior",Low
Fraud,Head of Financial Crimes Unit,"ponzi scheme, forgery, financial deception, mortgage fraud, fake currency",High
Drug-Related Offenses,Chief of Narcotics Control,"late night activity, drug paraphernalia, designer drugs, psychedelic drugs, suspicious transactions",Critical
Fraud,Head of Financial Crimes Unit,"gift card scam, false promises, real estate fraud, financial deception, fake job offer, identity theft",Medium
Fraud,Head of Financial Crimes Unit,"gift card scam, pretending to be, bank fraud, check fraud",Low
Theft,Directorate of Police,"looted, auto theft, missing from my porch",High
Assault,Commissioner of Law Enforcement,"assault with weapon, domestic violence, got jumped, physical abuse, got attacked, beat me up",Critical
Drug-Related Offenses,Chief of Narcotics Control,"prescription drugs, drug sale, crack house",Medium
Drug-Related Offenses,Chief of Narcotics Control,"dealing from car, selling drugs, drug paraphernalia, drug dealing",High
Cybercrime,Head of Cyber Crime Bureau,"ransomware, internet fraud, cyber attack, strange messages, online impersonation",Low
Theft,Directorate of Police,"cleaned out my, car gone, car theft, ran off with",Medium
Assault,Commissioner of Law Enforcement,"got beaten, picked a fight, bodily harm",Low
Drug-Related Offenses,Chief of Narcotics Control,"cocaine, narcotic sales, drug meetup",High
Cybercrime,Head of Cyber Crime Bureau,"website defacement, suspicious activity online, cyber security breach",High
Theft,Directorate of Police,"lifted my wallet, grabbed my, residential burglary, emptied my",Critical
Fraud,Head of Financial Crimes Unit,"check fraud, investment scam, telemarketing fraud",Critical
Fraud,Head of Financial Crimes Unit,"real estate fraud, unauthorized purchase, identity fraud, ponzi scheme, insurance fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"narcotic sales, ecstasy, drug distribution, drug exchanges",Medium
Drug-Related Offenses,Chief of Narcotics Control,"substance abuse, crack cocaine, drug money, narcotics, drug overdose",Low
Theft,Directorate of Police,"ransacked, someone took my, laptop stolen, stole from me, jewelry theft",Critical
Theft,Directorate of Police,"broke in and took, snatched, lifted my wallet, laptop stolen, theft",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug ring, opioids, drug laboratory, lots of traffic",High
Assault,Commissioner of Law Enforcement,"brawl, battery, roughed up, threatening",Medium
Theft,Directorate of Police,"bike gone, stealing, nicked my, went missing from",High
Drug-Related Offenses,Chief of Narcotics Control,"illegal substances, drug house, trafficking",Critical
Fraud,Head of Financial Crimes Unit,"tech support scam, employment fraud, false promises, money disappeared",High
Fraud,Head of Financial Crimes Unit,"card got charged, financial deception, real estate fraud, employment fraud, ripped off, money disappeared",Low
Fraud,Head of Financial Crimes Unit,"credit card skimming, bank scam, scam",Critical
Cybercrime,Head of Cyber Crime Bureau,"online scam, online threats, spam emails, hacking incident, tech support scam",Critical
Fraud,Head of Financial Crimes Unit,"embezzlement, fake currency, fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"cocaine, drug paraphernalia, late night activity, drug sale",Critical
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, drug money, illegal substances, drug conspiracy, heroin",Low
Fraud,Head of Financial Crimes Unit,"internet fraud, real estate fraud, employment fraud, tech support scam, investment scam, investment fraud",Medium
Assault,Commissioner of Law Enforcement,"violent attack, violent behavior, physical abuse, violent outburst, workplace violence",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber threat, social media scam, online stalking",Low
Assault,Commissioner of Law Enforcement,"aggravated assault, battery, assault and battery, got jumped, brutal attack, violent attack",High
Cybercrime,Head of Cyber Crime Bureau,"account hacked, social media scam, cyber stalking, database breach, digital theft",Critical
Assault,Commissioner of Law Enforcement,"violent behavior, getting threatening, physical injury, street fight",Medium
Fraud,Head of Financial Crimes Unit,"mail fraud, tax fraud, counterfeit, employment fraud, wire fraud",Medium
Theft,Directorate of Police,"shoplifting, taken from my car, emptied my, ran off with",Low
Fraud,Head of Financial Crimes Unit,"identity fraud, pyramid scheme, cheating",Medium
Drug-Related Offenses,Chief of Narcotics Control,"street drugs, suspicious packages, controlled substances",Critical
Assault,Commissioner of Law Enforcement,"beaten, weapon assault, got jumped, armed assault, acting aggressive",High
Theft,Directorate of Police,"auto theft, smartphone theft, car gone",Critical
Cybercrime,Head of Cyber Crime Bureau,"email compromise, internet fraud, social media hack, data theft, spyware",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug ring, drugs, drug cartel, narcotics",Medium
Fraud,Head of Financial Crimes Unit,"healthcare fraud, money laundering, suspicious charge, loan fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, prescription drugs, street drugs",Low
Assault,Commissioner of Law Enforcement,"punch, workplace violence, ganged up on, threatening, got jumped",Medium
Theft,Directorate of Police,"stolen property, bike gone, lifted my wallet, cleaned out my",Medium
Assault,Commissioner of Law Enforcement,"aggravated assault, beaten, shoved me",Critical
Fraud,Head of Financial Crimes Unit,"gift card scam, check fraud, insurance fraud",Low
Fraud,Head of Financial Crimes Unit,"fake company, mail fraud, investment scam",Low
Fraud,Head of Financial Crimes Unit,"credit card, scam, fraud, forgery, financial deception",Critical
Theft,Directorate of Police,"ran off with, jewelry theft, missing from my porch, grand theft, purse snatching",High
Drug-Related Offenses,Chief of Narcotics Control,"drug activity, drug related, prescription drugs, illegal prescription, street drugs, illegal prescriptions",Medium
Assault,Commissioner of Law Enforcement,"physical abuse, brutal attack, punch, physical altercation",Critical
Cybercrime,Head of Cyber Crime Bureau,"account hacked, malware, digital theft, cyber attack, credential theft, online threats",Low
Theft,Directorate of Police,"made off with, catalytic converter theft, emptied my, retail theft, vehicle break-in",Medium
Theft,Directorate of Police,"someone took my, took everything, stolen from my yard, commercial burglary, grabbed my, missing",Medium
Drug-Related Offenses,Chief of Narcotics Control,"lots of traffic, drug house, drug ring",Low
Theft,Directorate of Police,"petty theft, stole from me, looted, smartphone theft, car theft, broke in and took",Medium
Drug-Related Offenses,Chief of Narcotics Control,"opioids, dealing drugs, drug cultivation, strange odors, narcotic sales, crack cocaine",Medium
Theft,Directorate of Police,"disappeared with, burglary, purse snatching, retail theft",High
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, strange odors, synthetic drugs, psychedelic drugs",Medium
Theft,Directorate of Police,"auto theft, catalytic converter theft, property theft, broke into my house, snatched, cleaned out my",Low
Fraud,Head of Financial Crimes Unit,"card got charged, payment fraud, corporate fraud",Low
Theft,Directorate of Police,"stole from me, property theft, someone took my, smartphone theft",High
Theft,Directorate of Police,"property theft, porch pirate, nicked my, robbed, took my stuff",Medium
Cybercrime,Head of Cyber Crime Bureau,"crypto scam, online scam, trojan horse, bitcoin scam",Low
Fraud,Head of Financial Crimes Unit,"romance scam, medicare fraud, fraudulent documents, financial deception",Critical
Fraud,Head of Financial Crimes Unit,"suspicious call, mail fraud, gift card scam, bank scam, payment fraud",Low
Assault,Commissioner of Law Enforcement,"beaten, armed assault, violent confrontation",High
Theft,Directorate of Police,"storage unit theft, stolen package, porch pirate",Critical
Theft,Directorate of Police,"smartphone theft, stolen package, petty theft, nicked my",Low
Assault,Commissioner of Law Enforcement,"weapon assault, attack, got into a fight, roughed up, road rage incident",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, prescription drugs, drug addiction",Critical
Theft,Directorate of Police,"property theft, commercial burglary, theft, bike theft, items missing",High
Cybercrime,Head of Cyber Crime Bureau,"fake profile, cyber attack, social engineering, suspicious activity online",Critical
Cybercrime,Head of Cyber Crime Bureau,"suspicious activity online, password theft, account hacked, data theft",Critical
Drug-Related Offenses,Chief of Narcotics Control,"suspicious packages, synthetic drugs, drug activity",Low
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, drug manufacturing, drug conspiracy, strange odors, drug paraphernalia, drug money",High
Assault,Commissioner of Law Enforcement,"violent behavior, got jumped, punch, assault with weapon",Medium
Fraud,Head of Financial Crimes Unit,"ponzi scheme, tax fraud, employment fraud, card got charged",Medium
Theft,Directorate of Police,"made off with, storage unit theft, pinched my, package theft, commercial burglary",Medium
Fraud,Head of Financial Crimes Unit,"fake website, credit fraud, card got charged, telemarketing fraud, identity theft",Critical
Fraud,Head of Financial Crimes Unit,"money laundering, internet fraud, inheritance scam",Critical
Fraud,Head of Financial Crimes Unit,"employment fraud, pyramid scheme, romance scam, fraudulent documents, forgery",Medium
Drug-Related Offenses,Chief of Narcotics Control,"ecstasy, people coming and going, substance abuse, drug paraphernalia",Low
Theft,Directorate of Police,"storage unit theft, emptied my, shoplifting",Critical
Fraud,Head of Financial Crimes Unit,"took my money, fake job offer, money transfer scam, mortgage fraud, fake check, bank fraud",Critical
Fraud,Head of Financial Crimes Unit,"money laundering, fake job offer, forgery",Medium
Cybercrime,Head of Cyber Crime Bureau,"botnet attack, data theft, crypto scam",Low
Assault,Commissioner of Law Enforcement,"weapon assault, fight, school violence, shoved me",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug drops, street drugs, designer drugs, drug meetup, drug money, lots of traffic",Critical
Cybercrime,Head of Cyber Crime Bureau,"email scam, suspicious login, social engineering, cyber threat, cyber terrorism",Medium
Theft,Directorate of Police,"petty theft, steal, items missing, copper wire theft, ran off with",Low
Fraud,Head of Financial Crimes Unit,"wire fraud, mail fraud, strange transaction, medicare fraud, tech support scam",Medium
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, cyberstalking, data theft",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, drug ring, psychedelic drugs, drug laboratory",High
Cybercrime,Head of Cyber Crime Bureau,"online harassment, online scam, password theft, spam emails",Medium
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, drug meetup, street drugs, drug drops",High
Assault,Commissioner of Law Enforcement,"school violence, beaten, physical intimidation, brutal attack, getting violent",Medium
Assault,Commissioner of Law Enforcement,"aggressive behavior, violence, school violence, shoved me, violent outburst, armed assault",Low
Fraud,Head of Financial Crimes Unit,"false promises, fake job offer, welfare fraud, tech support scam",Low
Theft,Directorate of Police,"petty theft, went missing from, smartphone theft, car gone",Low
Cybercrime,Head of Cyber Crime Bureau,"ransomware, fake profile, strange messages",Medium
Cybercrime,Head of Cyber Crime Bureau,"social media scam, computer infected, cyber security breach, weird emails, strange messages, online harassment",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug house, drug money, cocaine, drug cartel",Critical
Cybercrime,Head of Cyber Crime Bureau,"cryptocurrency scam, credential theft, fake website",High
Fraud,Head of Financial Crimes Unit,"welfare fraud, money disappeared, got scammed, ponzi scheme, unauthorized purchase, pyramid scheme",Critical
Theft,Directorate of Police,"someone took my, went missing from, broke into my house, residential burglary, larceny",High
Cybercrime,Head of Cyber Crime Bureau,"online impersonation, cyberstalking, online threats, cyber stalking, social media scam",Critical
Fraud,Head of Financial Crimes Unit,"healthcare fraud, wire fraud, advance fee fraud, real estate fraud",Critical
Theft,Directorate of Police,"took everything, shoplifting, break-in, theft",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, cryptocurrency scam, weird emails, hacking incident, computer virus, social media hack",Low
Fraud,Head of Financial Crimes Unit,"tax fraud, credit fraud, false promises, forgery",Critical
Cybercrime,Head of Cyber Crime Bureau,"password theft, online impersonation, digital theft, identity breach, botnet attack, email compromise",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug smuggling, narcotic sales, drug meetup, drug paraphernalia, methamphetamine, drug conspiracy",Low
Cybercrime,Head of Cyber Crime Bureau,"social media hack, phishing, crypto scam, strange messages, cyber terrorism",Critical
Assault,Commissioner of Law Enforcement,"attack, bodily harm, physical threat, brawl, assault and battery",Medium
Cybercrime,Head of Cyber Crime Bureau,"identity breach, internet scam, breach, digital theft",Medium
Fraud,Head of Financial Crimes Unit,"got scammed, identity fraud, strange transaction, false promises, advance fee fraud, employment fraud",Medium
Assault,Commissioner of Law Enforcement,"fight, physical altercation, violent confrontation",Low
Assault,Commissioner of Law Enforcement,"violent attack, ganged up on, picked a fight, fight, unprovoked attack, shoved me",Critical
Drug-Related Offenses,Chief of Narcotics Control,"narcotic sales, drug manufacturing, crack cocaine, drug drops",High
Assault,Commissioner of Law Enforcement,"started swinging, shoved me, physical abuse, getting in my face, battery, knocked me down",Low
Assault,Commissioner of Law Enforcement,"physical threat, punch, aggressive behavior, weapon assault",High
Assault,Commissioner of Law Enforcement,"assault with weapon, coming after me, gang violence, pushed me around",High
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, drug manufacturing, selling drugs, drug related",Medium
Drug-Related Offenses,Chief of Narcotics Control,"substance abuse, dealing from car, drugs, constant visitors, drug house, designer drugs",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, sketchy behavior, drug dealing, people coming and going",High
Drug-Related Offenses,Chief of Narcotics Control,"drug related, suspicious visitors, drug laboratory",High
Fraud,Head of Financial Crimes Unit,"tax fraud, money laundering, bank fraud, wire fraud, payment fraud, fake currency",High
Assault,Commissioner of Law Enforcement,"physical threat, jumped me, getting threatening, street fight, school violence, brawl",High
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, cyber security breach, fake profile, denial of service, digital theft, strange messages",Critical
Cybercrime,Head of Cyber Crime Bureau,"website defacement, ransomware, social engineering, internet fraud, email scam",Low
Drug-Related Offenses,Chief of Narcotics Control,"heroin, crystal meth, ecstasy, drug enforcement, trafficking",Low
Fraud,Head of Financial Crimes Unit,"lottery scam, suspicious call, corporate fraud",High
Fraud,Head of Financial Crimes Unit,"gift card scam, romance scam, identity fraud, fraud, tax fraud, forgery",High
Drug-Related Offenses,Chief of Narcotics Control,"illegal prescription, drug distribution, drug overdose, crack house",Critical
Assault,Commissioner of Law Enforcement,"jumped me, came at me, got into a fight, violence, bodily harm",Critical
Cybercrime,Head of Cyber Crime Bureau,"identity breach, network intrusion, cyber stalking",High
Assault,Commissioner of Law Enforcement,"brutal attack, group assault, school violence, domestic violence, got attacked, bar fight",Medium
Cybercrime,Head of Cyber Crime Bureau,"trojan horse, malware, botnet attack, phishing, email compromise",Low
Theft,Directorate of Police,"robbed, copper wire theft, commercial burglary",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, drug cartel, drug laboratory, drug dealing",High
Drug-Related Offenses,Chief of Narcotics Control,"drug conspiracy, controlled substances, synthetic drugs, methamphetamine, drug dealing",Critical
Assault,Commissioner of Law Enforcement,"armed assault, group assault, school violence, domestic violence, coming after me",Low
Cybercrime,Head of Cyber Crime Bureau,"database breach, online scam, social media scam",High
Assault,Commissioner of Law Enforcement,"getting physical, aggravated assault, coming after me, violent confrontation, punch, got beaten",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug dealing, suspicious transactions, pills for sale, drug ring, drug cartel, people coming and going",High
Fraud,Head of Financial Crimes Unit,"insurance scam, investment fraud, money transfer scam",Low
Fraud,Head of Financial Crimes Unit,"mortgage fraud, credit fraud, pretending to be, fake check",Low
Fraud,Head of Financial Crimes Unit,"phone scam, social security fraud, employment fraud, romance scam, check fraud",Low
Cybercrime,Head of Cyber Crime Bureau,"email scam, weird emails, spyware, network intrusion",Low
Assault,Commissioner of Law Enforcement,"ganged up on, started swinging, brutal attack, aggressive behavior, knocked me down",Low
Cybercrime,Head of Cyber Crime Bureau,"computer virus, cyberstalking, network intrusion",Medium
Fraud,Head of Financial Crimes Unit,"telemarketing fraud, unauthorized purchase, bank fraud, inheritance scam, credit fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"suspicious packages, drug overdose, drug activity, drug enforcement, constant visitors, pills for sale",Low
Cybercrime,Head of Cyber Crime Bureau,"botnet attack, ransomware, password stolen, cyber bullying, email compromise, crypto scam",High
Cybercrime,Head of Cyber Crime Bureau,"weird emails, social media hack, cyber extortion",High
Assault,Commissioner of Law Enforcement,"assault and battery, violent outburst, school violence",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber bullying, cyber espionage, spyware",Medium
Fraud,Head of Financial Crimes Unit,"fraudulent documents, tech support scam, inheritance scam, scam",Low
Drug-Related Offenses,Chief of Narcotics Control,"narcotics, synthetic drugs, lots of traffic",Critical
Fraud,Head of Financial Crimes Unit,"telemarketing fraud, identity fraud, internet fraud, fraud",Critical
Fraud,Head of Financial Crimes Unit,"identity theft, embezzlement, got scammed, investment scam, credit card skimming, identity stolen",Medium
Theft,Directorate of Police,"ran off with, commercial burglary, took everything, catalytic converter theft, larceny, smartphone theft",Medium
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, drug conspiracy, drug ring, drug smuggling, suspicious visitors, heroin",High
Fraud,Head of Financial Crimes Unit,"credit card skimming, employment fraud, scam, ponzi scheme, money transfer scam",Low
Theft,Directorate of Police,"theft, theft from vehicle, grabbed my, break-in",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber stalking, fake profile, online harassment, keylogger, data theft, online scam",High
Theft,Directorate of Police,"stole from me, auto theft, catalytic converter theft, laptop stolen, vehicle break-in",Critical
Cybercrime,Head of Cyber Crime Bureau,"fake profile, online threats, trojan horse, phishing, cyber espionage, social media hack",High
Fraud,Head of Financial Crimes Unit,"unauthorized purchase, phone scam, pyramid scheme, romance scam, credit fraud",Critical
Fraud,Head of Financial Crimes Unit,"took my money, social security fraud, strange transaction, insurance scam, fake check, phone scam",Low
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, bitcoin scam, social media hack, cyber threat, cyber harassment, breach",Critical
Cybercrime,Head of Cyber Crime Bureau,"pop-up scam, trojan horse, credential theft, malware, cyber espionage, data theft",Critical
Assault,Commissioner of Law Enforcement,"bar fight, threatening, jumped me, assault with weapon, domestic violence, aggressive behavior",Low
Assault,Commissioner of Law Enforcement,"getting in my face, aggravated assault, unprovoked attack, violence",Low
Cybercrime,Head of Cyber Crime Bureau,"online harassment, data leak, cyber security breach, online impersonation, weird emails",Medium
Theft,Directorate of Police,"pickpocket, commercial burglary, shoplifting, took everything",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug manufacturing, drug related, crack cocaine, possession, drug sale",Medium
Cybercrime,Head of Cyber Crime Bureau,"computer virus, data theft, identity stolen online, cyber harassment, breach",Medium
Cybercrime,Head of Cyber Crime Bureau,"database breach, online harassment, website defacement, data theft",Critical
Assault,Commissioner of Law Enforcement,"punch, picked a fight, got into a fight",High
Cybercrime,Head of Cyber Crime Bureau,"internet scam, social media scam, password theft, website defacement, fake profile, email hacked",Medium
Fraud,Head of Financial Crimes Unit,"phone scam, ponzi scheme, money laundering, suspicious call",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber fraud, malware, cyber bullying, database breach, identity breach, cyber espionage",Critical
Fraud,Head of Financial Crimes Unit,"too good to be true, employment fraud, suspicious charge",Low
Assault,Commissioner of Law Enforcement,"road rage incident, physical altercation, getting violent, getting in my face, assault with weapon, armed assault",Medium
Assault,Commissioner of Law Enforcement,"threatened to hurt, attack, violent attack, workplace violence, battery, physical intimidation",High
Fraud,Head of Financial Crimes Unit,"money laundering, pyramid scheme, loan fraud, suspicious charge",High
Fraud,Head of Financial Crimes Unit,"false promises, fraudulent documents, credit fraud, money laundering, investment fraud",Low
Fraud,Head of Financial Crimes Unit,"tax fraud, pyramid scheme, insurance fraud, credit card, employment fraud",High
Theft,Directorate of Police,"bike theft, break-in, went missing from, petty theft, laptop stolen",Critical
Drug-Related Offenses,Chief of Narcotics Control,"selling drugs, controlled substances, people coming and going, drug related",High
Fraud,Head of Financial Crimes Unit,"forgery, identity theft, insurance fraud, fraudulent documents",Low
Theft,Directorate of Police,"shoplifting, someone took my, made off with",Low
Cybercrime,Head of Cyber Crime Bureau,"online impersonation, online threats, hacking incident, suspicious activity online, breach",Medium
Drug-Related Offenses,Chief of Narcotics Control,"ecstasy, drug dealing, drug laboratory, late night activity",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug laboratory, drug money, opioids, dealing from car, drug money, drug exchanges",Critical
Assault,Commissioner of Law Enforcement,"road rage incident, punch, gang violence, coming after me, threatened to hurt, battery",Medium
Cybercrime,Head of Cyber Crime Bureau,"account hacked, cyber espionage, keylogger, cyber terrorism, social media scam",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug manufacturing, crystal meth, designer drugs, heroin, drug enforcement",Low
Fraud,Head of Financial Crimes Unit,"fake website, investment scam, insurance fraud",High
Theft,Directorate of Police,"stolen from my yard, burglary, vehicle break-in, grand theft",Medium
Theft,Directorate of Police,"jewelry theft, missing from my porch, purse snatching, disappeared with",High
Fraud,Head of Financial Crimes Unit,"internet fraud, fraud, unauthorized purchase, check fraud, inheritance scam, insurance scam",Critical
Assault,Commissioner of Law Enforcement,"physical threat, punch, armed assault, physical injury",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber fraud, data leak, identity stolen online",High
Cybercrime,Head of Cyber Crime Bureau,"cyberstalking, online stalking, email hacked, cyber blackmail, password theft",Critical
Fraud,Head of Financial Crimes Unit,"investment scam, forgery, employment fraud, corporate fraud",High
Fraud,Head of Financial Crimes Unit,"money disappeared, fake email, investment scam, money laundering",Critical
Drug-Related Offenses,Chief of Narcotics Control,"needles found, drug drops, ecstasy, drug house",Low
Fraud,Head of Financial Crimes Unit,"inheritance scam, took my money, advance fee fraud, medicare fraud, fake company",Low
Drug-Related Offenses,Chief of Narcotics Control,"suspicious transactions, pharmaceutical theft, lots of traffic, opioids",High
Assault,Commissioner of Law Enforcement,"violent attack, violent outburst, weapon assault, violent confrontation, workplace violence, physical harassment",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber threat, computer infected, malware, tech support scam, social engineering, internet fraud",Critical
Fraud,Head of Financial Crimes Unit,"false promises, forgery, fake job offer",Critical
Assault,Commissioner of Law Enforcement,"ganged up on, violent behavior, physical altercation, violent attack, street fight",Critical
Theft,Directorate of Police,"robbed, residential burglary, cleaned out my, commercial burglary, taken from my car, petty theft",Medium
Assault,Commissioner of Law Enforcement,"got beaten, ganged up on, roughed up, school violence",High
Cybercrime,Head of Cyber Crime Bureau,"online impersonation, internet scam, denial of service, credential theft, cyber harassment",Critical
Drug-Related Offenses,Chief of Narcotics Control,"heroin, cocaine, drug money, suspicious visitors, drug laboratory, crystal meth",High
Fraud,Head of Financial Crimes Unit,"insurance scam, investment scam, financial deception, mail fraud, false promises",Medium
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, designer drugs, drug meetup, drug overdose, drug conspiracy, drug smuggling",High
Theft,Directorate of Police,"someone took my, stolen property, broke in and took, retail theft, burglary, ran off with",Medium
Cybercrime,Head of Cyber Crime Bureau,"credential theft, phone hacked, suspicious login, digital extortion, botnet attack",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug enforcement, controlled substances, dealing drugs, drug manufacturing, crystal meth",Critical
Assault,Commissioner of Law Enforcement,"battery, aggravated assault, shoved me",High
Drug-Related Offenses,Chief of Narcotics Control,"synthetic drugs, crystal meth, crack cocaine, fentanyl",Low
Assault,Commissioner of Law Enforcement,"knocked me down, violent behavior, battery, got jumped, unprovoked attack, violent outburst",Medium
Drug-Related Offenses,Chief of Narcotics Control,"late night activity, drug meetup, synthetic drugs",Critical
Theft,Directorate of Police,"shoplifting, smartphone theft, car theft",Critical
Assault,Commissioner of Law Enforcement,"physical threat, battery, knocked me down, picked a fight",Low
Theft,Directorate of Police,"stolen from my yard, missing, made off with, theft from vehicle",Medium
Fraud,Head of Financial Crimes Unit,"suspicious charge, fake check, ponzi scheme, social security fraud, check fraud",High
Cybercrime,Head of Cyber Crime Bureau,"online harassment, cyber bullying, malware, cyber attack, phone hacked, cyber harassment",Medium
Fraud,Head of Financial Crimes Unit,"fraudulent documents, false promises, ripped off",Medium
Fraud,Head of Financial Crimes Unit,"money laundering, pretending to be, credit card skimming, payment fraud, fraud",High
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, drug sale, substance abuse, selling drugs, ecstasy, suspicious transactions",Critical
Assault,Commissioner of Law Enforcement,"roughed up, getting threatening, getting violent, physical injury, group assault",Low
Fraud,Head of Financial Crimes Unit,"false promises, bank scam, corporate fraud",Medium
Cybercrime,Head of Cyber Crime Bureau,"denial of service, botnet attack, cyber bullying",Medium
Assault,Commissioner of Law Enforcement,"battery, physical altercation, physical intimidation, physical threat, coming after me, violent confrontation",Critical
Fraud,Head of Financial Crimes Unit,"fake email, financial deception, lottery scam, pretending to be, gift card scam, wire fraud",High
Cybercrime,Head of Cyber Crime Bureau,"data leak, cyberstalking, webcam hacked, cyber extortion",Low
Fraud,Head of Financial Crimes Unit,"corporate fraud, pyramid scheme, telemarketing fraud, credit card, mortgage fraud, strange transaction",Critical
Fraud,Head of Financial Crimes Unit,"too good to be true, fake website, loan fraud, social security fraud",Low
